County,FIPS,Average_An,Status,POP_2016
"Texas(6,10)",48999,98754,falling,
"Dallam County(6,10)",48111,31,stable,7056
"Polk County(6,10)",48373,336,stable,47916
"Gray County(6,10)",48179,138,stable,22725
"Refugio County(6,10)",48391,50,stable,7321
"Angelina County(6,10)",48005,459,stable,87791
"Orange County(6,10)",48361,449,falling,84964
"Trinity County(6,10)",48455,110,stable,14442
"Bell County(6,10)",48027,1203,falling,340411
"Scurry County(6,10)",48415,88,stable,17333
"Wilbarger County(6,10)",48487,76,stable,12892
"Hunt County(6,10)",48231,462,stable,92073
"Potter County(6,10)",48375,537,stable,120832
"Lamar County(6,10)",48277,291,stable,49791
"Grayson County(6,10)",48181,686,stable,128235
"Henderson County(6,10)",48213,508,stable,79901
"Palo Pinto County(6,10)",48363,162,stable,28053
"Armstrong County(6,10)",48011,13,stable,1876
"Terrell County(6,10)",48443,7,*,812
"Walker County(6,10)",48471,294,stable,71484
"Gregg County(6,10)",48183,598,stable,123745
"Baylor County(6,10)",48023,27,stable,3697
"Parker County(6,10)",48367,590,stable,129441
"Camp County(6,10)",48063,69,stable,12867
"Kaufman County(6,10)",48257,454,stable,118350
"Johnson County(6,10)",48251,693,stable,163274
"Hardin County(6,10)",48199,274,stable,56322
"Lampasas County(6,10)",48281,111,rising,20760
"Limestone County(6,10)",48293,131,stable,23468
"Brooks County(6,10)",48047,38,stable,7214
"Lavaca County(6,10)",48285,128,stable,19809
"Stephens County(6,10)",48429,57,stable,9906
"Howard County(6,10)",48227,170,stable,36708
"Jasper County(6,10)",48241,200,stable,35648
"Childress County(6,10)",48075,34,stable,7052
"Dawson County(6,10)",48115,64,stable,13111
"Coryell County(6,10)",48099,244,stable,74686
"San Patricio County(6,10)",48409,304,stable,67655
"Milam County(6,10)",48331,146,stable,24871
"Calhoun County(6,10)",48057,110,stable,21965
"Coke County(6,10)",48081,25,stable,3264
"Tarrant County(6,10)",48439,7059,falling,2016872
"Comanche County(6,10)",48093,89,stable,13484
"Smith County(6,10)",48423,1041,stable,225290
"Ellis County(6,10)",48139,626,stable,168499
"Jefferson County(6,10)",48245,1172,falling,254679
"Young County(6,10)",48503,108,stable,18152
"Montague County(6,10)",48337,119,stable,19414
"Terry County(6,10)",48445,61,falling,12799
"Rains County(6,10)",48379,72,stable,11314
"Sabine County(6,10)",48403,82,rising,10303
"Goliad County(6,10)",48175,46,stable,7517
"Ector County(6,10)",48135,536,stable,157462
"Cherokee County(6,10)",48073,257,stable,51668
"Harris County(6,10)",48201,14853,falling,4589928
"Victoria County(6,10)",48469,415,stable,92467
"San Jacinto County(6,10)",48407,153,stable,27707
"Nolan County(6,10)",48353,81,stable,14993
"Galveston County(6,10)",48167,1330,falling,329431
"Hood County(6,10)",48221,341,stable,56857
"Eastland County(6,10)",48133,113,stable,18274
"Wharton County(6,10)",48481,206,stable,41735
"Tom Green County(6,10)",48451,523,stable,118386
"Dallas County(6,10)",48113,8808,falling,2574984
"DeWitt County(6,10)",48123,118,stable,20865
"Hall County(6,10)",48191,21,stable,3138
"Chambers County(6,10)",48071,143,stable,39899
"Hill County(6,10)",48217,199,stable,35077
"Deaf Smith County(6,10)",48117,77,stable,18830
"Wheeler County(6,10)",48483,31,rising,5546
"Nacogdoches County(6,10)",48347,266,stable,65806
"McLennan County(6,10)",48309,1032,stable,247934
"Navarro County(6,10)",48349,239,stable,48523
"Wood County(6,10)",48499,292,stable,44227
"Bowie County(6,10)",48037,455,stable,93860
"Van Zandt County(6,10)",48467,304,stable,54355
"Aransas County(6,10)",48007,167,stable,25721
"Montgomery County(6,10)",48339,1952,falling,556203
"Hardeman County(6,10)",48197,24,stable,3906
"Lubbock County(6,10)",48303,1106,stable,303137
"Morris County(6,10)",48343,76,stable,12593
"Franklin County(6,10)",48159,61,stable,10607
"Hemphill County(6,10)",48211,17,stable,4129
"Harrison County(6,10)",48203,314,stable,66534
"Brazoria County(6,10)",48039,1230,falling,354195
"Karnes County(6,10)",48255,70,stable,15254
"Denton County(6,10)",48121,2213,falling,806180
"Randall County(6,10)",48381,537,stable,132501
"Winkler County(6,10)",48495,30,stable,7893
"Leon County(6,10)",48289,104,stable,17299
"Cochran County(6,10)",48079,15,stable,2882
"Guadalupe County(6,10)",48187,574,stable,155265
"Taylor County(6,10)",48441,570,stable,136535
"Kleberg County(6,10)",48273,122,stable,31690
"Red River County(6,10)",48387,81,stable,12207
"Fannin County(6,10)",48147,185,stable,34031
"Runnels County(6,10)",48399,61,stable,10448
"Hamilton County(6,10)",48193,55,stable,8304
"Marion County(6,10)",48315,69,stable,10147
"Fisher County(6,10)",48151,24,stable,3854
"Mitchell County(6,10)",48335,41,stable,8720
"Brown County(6,10)",48049,203,falling,38271
"Hutchinson County(6,10)",48233,107,stable,21511
"Rockwall County(6,10)",48397,314,falling,93978
"Wichita County(6,10)",48485,566,stable,131838
"Liberty County(6,10)",48291,323,stable,81704
"Burnet County(6,10)",48053,250,falling,46243
"Comal County(6,10)",48091,582,stable,134788
"Cooke County(6,10)",48097,196,stable,39266
"Ochiltree County(6,10)",48357,38,stable,10306
"Robertson County(6,10)",48395,89,falling,16751
"Upshur County(6,10)",48459,203,stable,40969
"Brazos County(6,10)",48041,544,falling,220417
"Matagorda County(6,10)",48321,178,stable,37187
"Washington County(6,10)",48477,189,falling,35056
"Donley County(6,10)",48129,23,stable,3405
"Delta County(6,10)",48119,31,stable,5215
"Clay County(6,10)",48077,60,stable,10193
"Bastrop County(6,10)",48021,324,stable,82733
"Panola County(6,10)",48365,118,stable,23492
"Throckmorton County(6,10)",48447,12,stable,1533
"Hansford County(6,10)",48195,24,falling,5538
"Collin County(6,10)",48085,2716,falling,939585
"Burleson County(6,10)",48051,96,stable,17760
"Shelby County(6,10)",48419,122,stable,25579
"Ward County(6,10)",48475,49,stable,11600
"Callahan County(6,10)",48059,76,stable,13820
"Austin County(6,10)",48015,145,stable,29758
"Andrews County(6,10)",48003,58,stable,17760
"Anderson County(6,10)",48001,254,stable,57734
"Kendall County(6,10)",48259,181,stable,42540
"Hopkins County(6,10)",48223,171,stable,36400
"Yoakum County(6,10)",48501,30,stable,8488
"Jim Hogg County(6,10)",48247,23,stable,5146
"Schleicher County(6,10)",48413,14,stable,3056
"Midland County(6,10)",48329,536,stable,162565
"Kerr County(6,10)",48265,325,falling,51504
"Moore County(6,10)",48341,74,falling,22120
"Madison County(6,10)",48313,59,stable,13987
"Bexar County(6,10)",48029,6391,falling,1928680
"Crane County(6,10)",48103,17,stable,4830
"Caldwell County(6,10)",48055,157,stable,41161
"Coleman County(6,10)",48083,53,stable,8420
"Freestone County(6,10)",48161,100,stable,19624
"Nueces County(6,10)",48355,1399,falling,361350
"Somervell County(6,10)",48425,41,stable,8775
"Colorado County(6,10)",48089,116,stable,21019
"Gillespie County(6,10)",48171,173,falling,26521
"Cass County(6,10)",48067,170,stable,30375
"McCulloch County(6,10)",48307,46,stable,8172
"Jackson County(6,10)",48239,69,stable,14869
"Jones County(6,10)",48253,88,falling,20009
"Jack County(6,10)",48237,41,stable,8744
"Travis County(6,10)",48453,3198,stable,1199323
"Hale County(6,10)",48189,136,stable,34263
"Brewster County(6,10)",48043,46,stable,9200
"Williamson County(6,10)",48491,1474,falling,528718
"Llano County(6,10)",48299,143,stable,20362
"Houston County(6,10)",48225,128,stable,22754
"Wise County(6,10)",48497,251,stable,64455
"Tyler County(6,10)",48457,115,stable,21320
"Fayette County(6,10)",48149,144,stable,25149
"El Paso County(6,10)",48141,2789,stable,837918
"Erath County(6,10)",48143,149,stable,41659
"Fort Bend County(6,10)",48157,1966,falling,741237
"Castro County(6,10)",48069,33,stable,7669
"Hays County(6,10)",48209,514,falling,204470
"Collingsworth County(6,10)",48087,15,stable,3016
"Bandera County(6,10)",48019,122,falling,21776
"Knox County(6,10)",48275,21,stable,3806
"Floyd County(6,10)",48153,31,stable,5917
"Falls County(6,10)",48145,84,stable,17273
"Rusk County(6,10)",48401,231,falling,52732
"Bosque County(6,10)",48035,101,stable,18097
"Lamb County(6,10)",48279,61,stable,13275
"Titus County(6,10)",48449,119,stable,32592
"Hockley County(6,10)",48219,92,stable,23275
"Blanco County(6,10)",48031,53,stable,11392
"Waller County(6,10)",48473,148,stable,50115
"Atascosa County(6,10)",48013,181,stable,48797
"Val Verde County(6,10)",48465,178,stable,48881
"Garza County(6,10)",48169,22,rising,6442
